# Null title                                   Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7748
#           2       0.00000     25.11      6.00     2   3.9242
#           3       0.00000     14.84     48.00     3   4.1622
#           4       0.00000      5.81     48.00     3   4.7369
#           5       0.00000     59.98     24.00     2   4.8061
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    14.1500   -9.423920E-03  5.765156E-02  7.242083E+01
    14.2000   -2.608050E-02  5.475450E-02  7.275309E+01
    14.2500   -3.781131E-02  5.140160E-02  7.308319E+01
    14.3000   -4.354315E-02  4.762962E-02  7.341017E+01
    14.3500   -4.328719E-02  4.348231E-02  7.373266E+01
    14.4000   -3.806105E-02  3.901149E-02  7.404862E+01
    14.4500   -2.962174E-02  3.427954E-02  7.435482E+01
    14.5000   -2.006765E-02  2.936487E-02  7.464583E+01
    14.5500   -1.139281E-02  2.437474E-02  7.491187E+01
    14.6000   -5.085320E-03  1.947744E-02  7.513407E+01
    14.6500   -1.850643E-03  1.498838E-02  7.527444E+01
    14.7000   -1.513975E-03  1.158402E-02  7.526715E+01
    14.7500   -3.117448E-03  1.047096E-02  7.509592E+01
    14.8000   -5.187437E-03  1.224957E-02  7.496094E+01
    14.8500   -6.111782E-03  1.587182E-02  7.500294E+01
    14.9000   -4.544350E-03  2.023188E-02  7.517168E+01
    14.9500    2.507458E-04  2.478429E-02  7.540834E+01
    15.0000    8.189593E-03  2.927264E-02  7.568178E+01
    15.0500    1.831370E-02  3.351179E-02  7.597639E+01
    15.1000    2.899580E-02  3.744333E-02  7.628398E+01
    15.1500    3.824074E-02  4.100314E-02  7.659986E+01
    15.2000    4.409189E-02  4.414245E-02  7.692115E+01
    15.2500    4.503877E-02  4.682332E-02  7.724599E+01
    15.3000    4.034296E-02  4.901664E-02  7.757306E+01
    15.3500    3.021487E-02  5.070111E-02  7.790138E+01
    15.4000    1.580470E-02  5.186283E-02  7.823015E+01
    15.4500   -9.902952E-04  5.249521E-02  7.855868E+01
    15.5000   -1.786290E-02  5.259894E-02  7.888631E+01
    15.5500   -3.250863E-02  5.218214E-02  7.921237E+01
    15.6000   -4.303100E-02  5.126067E-02  7.953609E+01
    15.6500   -4.825892E-02  4.985854E-02  7.985662E+01
    15.7000   -4.791554E-02  4.800856E-02  8.017287E+01
    15.7500   -4.260925E-02  4.575347E-02  8.048350E+01
    15.8000   -3.365527E-02  4.314759E-02  8.078674E+01
    15.8500   -2.277058E-02  4.025958E-02  8.108026E+01
    15.9000   -1.171066E-02  3.717663E-02  8.136095E+01
    15.9500   -1.926225E-03  3.401098E-02  8.162474E+01
    16.0000    5.688061E-03  3.090915E-02  8.186649E+01
    16.0500    1.088174E-02  2.802155E-02  8.208023E+01
    16.1000    1.405344E-02  2.563774E-02  8.226157E+01
    16.1500    1.602079E-02  2.403115E-02  8.241114E+01
    16.2000    1.773819E-02  2.344190E-02  8.253964E+01
    16.2500    1.999093E-02  2.397463E-02  8.266743E+01
    16.3000    2.314153E-02  2.554093E-02  8.281528E+01
    16.3500    2.698936E-02  2.790981E-02  8.299467E+01
    16.4000    3.077826E-02  3.080998E-02  8.320682E+01
    16.4500    3.335358E-02  3.399912E-02  8.344738E+01
    16.5000    3.343536E-02  3.728446E-02  8.371060E+01
    16.5500    2.994729E-02  4.051833E-02  8.399126E+01
    16.6000    2.232701E-02  4.358768E-02  8.428522E+01
    16.6500    1.074499E-02  4.640477E-02  8.458933E+01
    16.7000   -3.822312E-03  4.890056E-02  8.490125E+01
    16.7500   -1.968970E-02  5.102034E-02  8.521921E+01
    16.8000   -3.471870E-02  5.272094E-02  8.554187E+01
    16.8500   -4.668523E-02  5.396892E-02  8.586823E+01
    16.9000   -5.368776E-02  5.473943E-02  8.619746E+01
    16.9500   -5.451398E-02  5.501541E-02  8.652891E+01
    17.0000   -4.888993E-02  5.478710E-02  8.686204E+01
    17.0500   -3.752482E-02  5.400850E-02  8.719646E+01
    17.1000   -2.212231E-02  5.272815E-02  8.753164E+01
    17.1500   -4.957633E-03  5.095719E-02  8.786715E+01
    17.2000    1.148144E-02  4.871273E-02  8.820253E+01
    17.2500    2.493555E-02  4.601762E-02  8.853725E+01
    17.3000    3.376632E-02  4.290025E-02  8.887067E+01
